TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
8/1/2025,131,287,207,212,0,0,0,BSD
8/1/2025,0,0,0,0,0,0,0,ASEAN
8/1/2025,27,679,362,344,0,0,0,ALITAPTAP
8/1/2025,458,4159,2363,2254,0,0,0,FS
9/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
9/1/2025,0,0,0,0,0,0,0,RIVERWALK
9/1/2025,836,1148,938,1047,0,0,0,PSL
9/1/2025,173,309,226,257,0,0,0,PRG
9/1/2025,0,0,0,0,0,0,0,PLAZUELA
9/1/2025,15,166,88,93,0,0,0,MDI
9/1/2025,865,2213,1525,1553,0,0,0,PR
9/1/2025,186,331,249,268,0,0,0,CM
9/1/2025,52,358,169,240,0,0,0,CDT
9/1/2025,458,4159,2362,2254,0,0,0,FS
9/1/2025,131,287,207,212,0,0,0,BSD
9/1/2025,0,0,0,0,0,0,0,ASEAN
9/1/2025,27,679,362,344,0,0,0,ALITAPTAP
10/1/2025,0,0,0,0,0,0,0,RIVERWALK
10/1/2025,836,1148,938,1047,0,0,0,PSL
10/1/2025,173,309,226,257,0,0,0,PRG
10/1/2025,865,2213,1525,1553,0,0,0,PR
10/1/2025,0,0,0,0,0,0,0,PLAZUELA
10/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
10/1/2025,15,166,88,93,0,0,0,MDI
10/1/2025,458,4159,2362,2254,0,0,0,FS
10/1/2025,186,331,249,268,0,0,0,CM
10/1/2025,52,358,169,240,0,0,0,CDT
10/1/2025,131,287,207,212,0,0,0,BSD
10/1/2025,0,0,0,0,0,0,0,ASEAN
10/1/2025,27,679,362,344,0,0,0,ALITAPTAP
11/1/2025,0,0,0,0,0,0,0,RIVERWALK
11/1/2025,836,1148,938,1047,0,0,0,PSL
11/1/2025,173,309,226,257,0,0,0,PRG
11/1/2025,865,2213,1525,1553,0,0,0,PR
11/1/2025,0,0,0,0,0,0,0,PLAZUELA
11/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
11/1/2025,15,166,88,93,0,0,0,MDI
11/1/2025,458,4159,2362,2254,0,0,0,FS
11/1/2025,186,331,249,268,0,0,0,CM
11/1/2025,52,358,169,240,0,0,0,CDT
11/1/2025,131,287,206,212,0,0,0,BSD
11/1/2025,0,0,0,0,0,0,0,ASEAN
11/1/2025,27,679,362,344,0,0,0,ALITAPTAP
12/1/2025,0,0,0,0,0,0,0,RIVERWALK
12/1/2025,836,1148,938,1047,0,0,0,PSL
12/1/2025,173,309,226,257,0,0,0,PRG
12/1/2025,865,2213,1525,1553,0,0,0,PR
12/1/2025,0,0,0,0,0,0,0,PLAZUELA
12/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
12/1/2025,15,166,88,93,0,0,0,MDI
12/1/2025,458,4159,2362,2254,0,0,0,FS
12/1/2025,186,331,249,268,0,0,0,CM
12/1/2025,52,358,169,240,0,0,0,CDT
12/1/2025,131,287,206,212,0,0,0,BSD
12/1/2025,0,0,0,0,0,0,0,ASEAN
12/1/2025,26,679,362,344,0,0,0,ALITAPTAP
13/01/2025,836,1148,938,1047,0,0,0,PSL
13/01/2025,173,309,226,257,0,0,0,PRG
